gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-91.95,12.17,61.18,-0.50,0.65,0.79,597,1616,1231
-105.63,1.86,1.80,-1.45,-0.00,1.23,593,1616,1230
-120.99,8.56,-21.30,-0.04,0.63,0.39,592,1617,1229
-139.14,3.28,-100.06,-1.74,-0.32,1.05,591,1614,1229
-155.40,9.08,-115.51,-0.23,0.95,0.63,591,1619,1227
-146.30,-4.73,-87.04,0.34,0.85,0.17,593,1621,1230
-123.98,-17.39,96.11,0.12,0.68,-0.42,546,1667,1234
-101.27,-32.47,93.45,-0.33,0.60,0.49,537,1678,1235
-150.08,-44.41,80.25,-0.02,0.29,0.07,523,1680,1243
-182.92,-34.14,68.17,-0.52,0.24,1.62,499,1683,1260
-199.50,-37.27,62.58,-0.26,0.35,0.34,489,1696,1267
-209.86,-37.76,76.90,-0.01,0.71,0.93,476,1697,1293
-232.17,-16.29,121.59,-0.04,0.36,0.52,402,1712,1373
-235.42,-8.08,115.74,-0.12,0.44,0.34,398,1706,1389
-242.67,-6.60,110.38,-0.17,0.37,0.60,387,1701,1397
-244.29,-4.17,87.24,-0.45,0.21,0.39,384,1707,1408
-269.02,0.67,74.05,-0.25,0.39,0.74,380,1706,1424
-283.34,7.20,73.04,-0.07,0.48,0.76,369,1710,1433
-343.47,17.46,59.04,-0.11,0.41,0.71,353,1708,1469
-361.47,9.39,46.87,-0.31,0.46,0.87,351,1708,1472
-369.86,2.93,42.93,-0.14,0.35,0.50,336,1709,1473
-371.83,-2.15,44.54,-0.08,0.38,0.31,345,1709,1477
-370.03,-6.44,39.03,-0.05,0.41,0.12,342,1709,1479
-383.85,-17.09,44.60,-0.11,0.49,0.26,343,1719,1484
-388.92,-70.34,55.94,-0.21,0.62,0.06,345,1750,1518
-394.03,-81.07,55.01,-0.05,0.71,-0.40,346,1751,1530
-405.30,-100.54,25.82,-0.68,0.62,0.34,345,1772,1550
-398.79,-113.42,-4.42,-0.57,0.72,-0.22,341,1774,1564
-367.11,-122.12,-46.59,-0.48,0.36,-1.08,342,1786,1552
-390.63,-120.12,-106.38,-1.59,1.08,1.13,341,1808,1579
-265.71,-123.05,-120.85,-0.48,1.20,-1.07,343,1822,1610
-243.48,-133.76,-128.58,-0.67,1.19,-0.96,339,1831,1618
-226.89,-148.93,-160.62,-1.13,1.27,-0.82,342,1840,1633
-219.27,-163.16,-199.25,-1.04,1.17,-0.46,339,1849,1641
-207.51,-175.21,-235.34,-1.03,1.28,-0.57,342,1853,1648
-140.90,-200.61,-279.36,-0.65,1.42,-0.46,339,1873,1687
-130.70,-208.89,-305.02,-0.82,1.29,-0.47,345,1877,1696
-117.83,-216.55,-338.81,-0.78,1.33,-0.47,343,1882,1703
-101.14,-222.61,-360.93,-0.43,1.40,-0.46,343,1894,1713
-89.07,-228.05,-371.84,-0.27,1.33,-0.38,339,1897,1722
-23.39,-252.54,-414.18,0.11,1.25,-0.32,345,1909,1751
-12.75,-260.61,-410.85,0.33,1.32,-0.29,347,1909,1744
-4.64,-270.31,-413.08,0.42,1.31,-0.23,345,1909,1765
4.52,-278.67,-403.11,0.54,1.23,-0.24,347,1905,1774
18.00,-290.55,-389.34,0.80,1.37,-0.26,345,1911,1776
30.67,-297.70,-374.68,0.68,1.35,-0.34,346,1911,1782
103.34,-328.78,-338.21,0.86,1.28,-0.26,348,1910,1814
121.42,-327.07,-338.68,0.89,1.26,-0.23,348,1907,1823
133.73,-322.78,-317.92,1.39,1.38,-0.15,345,1915,1825
145.51,-316.26,-278.52,1.66,1.53,-0.14,347,1917,1830
157.19,-311.09,-237.07,1.70,1.45,-0.04,345,1924,1835
193.83,-261.05,-42.84,1.67,1.75,-0.26,346,1942,1876
198.32,-250.98,-25.98,1.47,1.66,-0.12,347,1947,1891
207.02,-240.09,-8.94,1.49,1.54,-0.25,349,1954,1904
216.98,-225.94,18.78,1.64,1.59,-0.23,349,1964,1917
226.06,-213.28,29.32,1.19,1.47,-0.38,345,1966,1922
244.70,-196.78,50.11,1.35,1.62,-0.56,345,1968,1927
307.60,-137.31,130.22,0.54,1.40,-0.56,348,1983,1954
316.35,-131.18,127.68,0.51,1.51,-0.56,347,1984,1962
322.84,-123.21,145.99,0.53,1.45,-0.54,348,1984,1968
331.71,-117.12,177.27,0.77,1.50,-0.66,349,1984,1968
341.19,-108.99,213.03,0.51,1.58,-0.72,345,1983,1970
350.86,-102.40,233.93,0.28,1.42,-0.73,347,1982,1968
364.21,-59.76,240.03,-0.45,1.27,-0.54,327,1985,1969
362.89,-41.83,234.81,-0.57,1.20,-0.51,346,1985,1984
362.69,-21.51,230.34,-0.63,1.00,-0.36,347,1982,1970
353.66,1.04,230.86,-0.47,1.01,-0.34,345,1985,1970
343.51,25.45,237.01,-0.39,1.06,-0.28,347,1984,1970
367.54,134.14,187.10,-0.93,0.66,-0.08,346,1987,1969
372.34,153.07,178.58,-0.81,0.68,0.00,353,1985,1968
366.09,174.00,173.35,-0.79,0.82,0.19,346,1984,1968
359.15,193.62,174.37,-0.81,0.72,0.27,345,1983,1969
349.68,209.80,187.42,-0.60,0.63,0.39,347,1984,1969
336.73,223.43,213.22,-0.40,0.55,0.57,345,1983,1971
245.62,290.87,289.06,-0.33,0.32,0.94,346,1983,1970
216.90,296.15,307.07,0.21,-0.06,1.35,347,1984,1970
194.29,299.91,328.69,-0.03,-0.03,0.96,347,1982,1971
178.55,306.15,350.63,0.10,0.15,0.74,345,1982,1968
157.36,313.02,387.18,0.27,0.20,0.87,348,1983,1970
136.64,315.95,389.24,-0.31,-0.08,0.92,345,1983,1970
18.38,349.51,420.41,-0.16,-0.23,1.07,343,1985,1968
-9.04,350.12,444.66,-0.08,-0.31,1.23,346,1987,1968
-36.21,352.11,460.66,-0.16,-0.37,1.20,346,1985,1968
-60.59,351.95,468.17,-0.14,-0.47,1.13,350,1985,1971
-82.93,350.26,476.17,-0.17,-0.55,1.07,349,1986,1968
-106.72,344.29,483.85,-0.13,-0.50,1.04,347,1984,1969
-232.08,280.88,430.72,-0.51,-0.66,1.19,347,1985,1968
-254.18,271.39,427.27,-0.23,-0.61,0.97,348,1987,1972
-274.50,263.54,415.73,-0.39,-0.78,0.92,347,1986,1969
-296.59,250.41,421.93,0.05,-0.48,0.99,347,1987,1970
-319.71,227.43,420.74,-0.57,-0.87,1.08,347,1987,1970
-398.63,134.49,328.96,-0.53,-0.47,0.32,347,1986,1969
-404.84,118.04,306.86,-0.59,-0.38,0.26,347,1987,1969
-410.01,104.46,278.23,-0.48,-0.40,0.17,349,1987,1968
-410.34,90.61,253.22,-0.47,-0.08,-0.01,350,1987,1969
-412.37,74.24,215.09,-0.67,-0.22,0.03,346,1985,1971
-413.63,55.56,186.96,-0.33,0.07,0.03,348,1984,1969
-389.42,-14.14,94.72,-0.27,0.30,-0.24,347,1985,1968
-388.38,-25.67,66.75,-0.40,0.37,-0.38,346,1987,1970
-358.23,-29.36,16.05,-1.17,0.85,-1.13,347,1988,1968
-342.56,-41.15,-20.06,-0.41,0.87,-0.41,348,1985,1968
-331.63,-47.42,-71.11,-0.59,0.56,-0.66,349,1987,1969
-274.47,-78.12,-179.25,0.25,1.02,-0.22,345,1982,1970
-263.05,-81.82,-190.99,0.35,1.12,-0.33,343,1974,1970
-248.20,-85.73,-211.00,0.28,1.04,-0.29,345,1983,1969
-234.40,-89.25,-219.17,0.55,1.08,-0.37,344,1984,1968
-218.72,-94.23,-216.44,0.66,1.19,-0.26,346,1983,1969
-173.57,-119.28,-237.34,0.69,1.30,-0.12,345,1985,1969
-160.96,-121.91,-230.71,0.81,1.24,-0.21,347,1985,1968
-150.98,-125.24,-227.26,0.68,1.25,-0.10,345,1984,1969
-144.61,-130.75,-224.18,0.71,1.25,-0.04,347,1985,1971
-140.78,-137.42,-220.84,0.70,1.31,-0.05,345,1984,1979
-92.87,-147.92,-207.37,0.68,1.42,-0.08,346,1984,1968
-87.34,-149.21,-209.66,0.58,1.35,-0.11,351,1983,1970
-83.79,-149.91,-201.97,0.69,1.44,-0.10,345,1983,1971
-83.01,-150.57,-196.64,0.61,1.43,-0.09,346,1986,1969
-81.53,-153.34,-195.22,0.48,1.44,-0.10,345,1984,1971
-79.69,-156.55,-194.35,0.48,1.42,-0.12,345,1984,1969
-68.53,-162.23,-176.64,0.44,1.39,-0.17,346,1984,1968
-64.52,26.61,7.45,-0.29,0.57,0.98,528,1609,1253
-79.37,30.95,15.64,-0.32,0.47,1.06,528,1611,1251
-94.46,32.93,19.77,-0.30,0.52,1.11,528,1610,1249
-110.37,34.87,19.07,-0.41,0.52,1.14,528,1611,1250
-126.56,36.27,14.63,-0.45,0.48,1.15,529,1613,1249
-138.73,31.46,9.53,-0.44,0.58,1.32,528,1611,1247
-194.46,38.20,41.99,-0.48,0.29,0.92,528,1619,1248
-212.40,33.97,51.87,-0.11,0.36,0.79,528,1619,1247
-218.06,29.83,6.23,-1.25,0.02,0.75,528,1621,1244
-218.08,13.33,-105.43,-1.89,-1.42,0.83,526,1623,1245
-218.12,61.05,-20.49,1.92,1.79,0.03,528,1648,1249
-253.39,22.76,-3.86,0.21,0.70,1.45,523,1667,1245
-245.45,5.45,58.25,0.76,-1.21,2.00,518,1754,1247
-228.40,20.87,80.93,0.24,0.10,1.07,519,1751,1255
-266.84,31.91,140.83,0.21,-0.05,0.46,522,1775,1265
-291.74,22.87,159.65,0.30,0.30,0.87,521,1776,1286
-297.21,24.87,150.67,-0.28,1.02,0.55,518,1790,1302
-313.71,18.66,85.22,-1.20,0.13,0.97,520,1803,1326
-350.66,10.96,148.86,-0.42,0.28,0.50,509,1812,1411
-360.95,13.14,137.83,-0.24,0.54,0.44,510,1809,1431
-373.02,16.12,118.57,-0.51,0.50,0.70,508,1810,1456
-391.50,14.99,100.63,-0.50,0.58,0.27,506,1808,1471
