gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-103.30,0.72,-69.33,-0.20,0.67,0.79,1051,1714,1328
-112.27,0.01,-72.15,-0.22,0.69,0.81,1047,1714,1326
-123.95,0.03,-76.18,-0.26,0.69,0.90,1049,1712,1325
-135.13,-1.15,-80.29,-0.28,0.69,0.84,1042,1715,1320
-144.81,-1.05,-83.20,-0.32,0.69,0.90,1050,1714,1318
-158.49,-3.07,-86.94,-0.32,0.68,0.93,1045,1714,1313
-217.88,-12.99,-105.40,0.00,0.53,1.00,1047,1715,1310
-235.48,-17.05,-117.42,-0.54,0.54,0.94,1046,1717,1313
-244.23,-18.41,-148.36,-0.80,0.42,0.74,1055,1713,1311
-257.65,-15.89,-172.12,-0.56,0.55,0.69,1051,1713,1312
-264.24,-10.66,-184.09,-0.25,0.64,0.55,1052,1714,1312
-242.73,32.69,-148.21,0.34,0.80,-0.17,1052,1715,1311
-243.28,31.75,-150.27,-0.40,0.71,0.10,1054,1715,1312
-241.53,35.88,-154.39,-0.47,0.81,0.24,1053,1714,1312
-254.89,33.85,-156.29,-0.32,0.70,0.86,1049,1715,1312
-257.28,38.55,-127.83,0.11,0.90,0.15,1050,1713,1312
-241.97,122.59,-35.52,-0.21,1.25,-0.21,1045,1715,1319
-228.58,136.85,-5.43,0.18,1.46,-0.29,1045,1716,1312
-219.22,143.62,24.37,0.15,1.27,-0.21,1043,1713,1311
-201.94,151.49,-5.48,-0.87,1.03,-0.41,1045,1718,1313
-193.33,163.45,-27.57,-0.54,1.00,-0.51,1043,1713,1312
-190.53,208.61,98.31,0.89,1.63,-0.81,1044,1717,1315
-162.29,221.77,118.61,0.15,1.85,-0.90,1046,1719,1315
-145.43,236.26,136.92,0.01,1.65,-0.54,1047,1718,1323
-123.51,252.27,137.58,-0.29,1.49,-0.73,1044,1718,1328
-109.01,269.83,135.96,-0.27,1.51,-0.66,1042,1719,1334
-20.20,332.46,123.19,-0.49,1.73,-0.67,1042,1717,1371
-0.61,338.06,142.23,0.34,1.34,-0.70,1043,1718,1383
-13.71,337.27,186.93,0.74,1.61,0.76,1043,1718,1394
-31.28,321.10,181.03,-0.66,1.93,0.46,1046,1719,1405
-27.27,323.63,167.91,-0.76,1.43,-0.24,1046,1719,1418
-19.01,329.05,154.49,-0.78,1.48,-0.51,1045,1718,1438
8.08,312.73,161.35,-0.28,1.75,-0.26,1045,1721,1501
28.57,306.41,154.74,-0.33,1.98,-0.87,1044,1718,1520
48.38,290.56,144.64,-0.34,1.98,-0.49,1042,1717,1525
59.73,280.15,147.07,-0.21,1.98,-0.63,1046,1717,1546
87.47,277.08,133.94,-0.44,1.98,-0.45,1044,1719,1559
160.21,249.97,91.80,-0.20,1.92,-0.87,1047,1717,1579
178.38,245.85,94.67,0.17,1.85,-0.71,1046,1717,1583
188.29,239.89,95.39,0.08,1.95,-0.67,1045,1715,1584
195.91,235.83,78.84,-0.06,1.84,-0.50,1043,1716,1584
203.07,234.33,63.16,0.06,1.86,-0.54,1045,1715,1587
216.58,233.24,57.36,0.22,1.89,-0.61,1044,1718,1595
275.82,216.09,42.28,0.81,1.97,-0.46,1038,1716,1617
289.22,204.26,45.77,0.70,1.98,-0.40,1047,1714,1627
290.29,197.16,17.74,0.13,1.78,-0.32,1045,1715,1627
291.97,192.47,-8.73,0.23,1.71,-0.29,1046,1714,1647
292.38,185.75,-12.47,0.64,1.58,-0.17,1046,1717,1655
295.13,177.07,-18.17,0.43,1.49,-0.20,1044,1712,1664
321.15,139.80,-82.50,0.70,1.62,-0.50,1045,1712,1707
334.24,121.53,-64.73,0.73,1.55,-0.13,1047,1718,1712
