gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-120.05,68.73,59.99,0.34,0.96,0.21,610,2130,1280
-128.63,71.18,66.84,0.29,0.95,0.22,615,2128,1279
-137.18,72.60,71.33,0.27,0.95,0.24,617,2129,1281
-146.87,73.95,74.16,0.23,0.95,0.24,615,2129,1281
-156.38,75.46,83.07,0.32,0.96,0.22,619,2128,1280
-165.10,76.24,97.04,0.35,0.91,0.19,615,2128,1280
-217.39,65.66,99.77,0.01,0.73,0.28,609,2128,1280
-227.48,62.91,108.14,0.33,0.88,0.14,608,2132,1281
-240.89,56.60,111.13,0.12,0.66,0.28,610,2128,1280
-256.48,49.32,116.54,0.18,0.66,0.34,606,2128,1279
-269.13,43.96,100.89,-0.45,0.61,0.19,607,2128,1279
-283.28,41.00,70.40,-0.49,0.61,0.17,606,2128,1279
-307.03,36.65,84.02,-0.52,0.39,-0.10,603,2114,1280
-300.84,36.97,99.96,-0.11,0.70,-0.26,603,2102,1280
-291.28,36.11,89.55,-0.52,0.63,-0.43,592,2087,1281
-281.56,45.29,69.32,-0.83,0.71,-0.56,592,2073,1280
-274.92,51.17,56.02,-0.42,0.93,-0.67,592,2058,1280
-279.04,48.91,40.69,-0.63,0.72,-0.52,592,2032,1281
-239.82,20.04,93.87,-0.45,0.57,-0.19,591,1965,1279
-247.41,13.70,96.61,0.08,0.87,0.07,592,1948,1269
-240.54,5.57,61.26,-0.90,0.86,-0.25,593,1933,1253
-224.74,3.23,35.04,-0.40,0.97,-0.52,592,1913,1235
-219.51,-2.11,16.92,-0.37,1.06,-0.28,592,1902,1213
-218.09,-6.50,18.80,0.05,0.85,-0.41,590,1880,1196
-178.52,-12.08,-5.54,-0.02,0.91,-0.49,594,1835,1085
-167.13,-17.34,1.16,-0.00,0.93,-0.60,592,1828,1054
-156.32,-17.53,5.24,-0.17,0.79,-0.75,592,1822,1008
-142.23,-17.15,-4.77,-0.37,0.81,-0.83,592,1818,980
-126.69,-18.63,-28.52,-0.55,0.75,-0.79,593,1819,948
-120.29,-17.03,-51.77,-0.46,0.70,-0.77,592,1811,907
-87.33,-32.88,-121.06,-0.40,0.76,-0.73,592,1812,784
-67.04,-34.77,-99.78,0.24,1.21,-1.57,593,1810,752
-20.89,-42.65,-63.31,0.29,1.72,-1.07,593,1813,731
-17.85,-48.53,-43.83,0.11,1.22,-0.75,595,1813,713
-27.77,-53.14,-88.04,-0.94,0.39,-0.33,593,1811,702
-2.19,-53.43,-84.27,-0.12,1.05,-1.05,593,1810,693
133.49,-96.83,-98.81,-0.48,1.00,-2.01,593,1819,648
126.15,-117.79,-113.89,-0.35,1.68,-0.88,592,1840,642
140.43,-145.69,-144.96,-0.93,0.91,-1.05,592,1857,639
172.27,-160.54,-168.29,-0.48,1.33,-1.25,592,1872,637
195.54,-172.71,-150.52,-0.03,1.26,-1.27,591,1899,631
213.60,-186.07,-133.95,-0.08,1.22,-1.11,591,1922,617
311.26,-229.47,-174.04,0.03,1.35,-1.11,603,2019,624
331.98,-240.66,-183.37,-0.25,1.24,-1.05,590,2032,627
354.99,-245.60,-185.57,-0.23,1.25,-1.22,591,2058,627
380.38,-251.29,-197.80,-0.20,1.31,-1.23,592,2076,624
401.07,-256.48,-218.35,-0.45,1.12,-1.27,622,2096,626
497.42,-249.64,-253.84,-0.00,0.95,-1.69,593,2135,625
497.42,-248.24,-230.79,0.75,1.38,-1.13,592,2137,626
497.42,-250.89,-233.05,-0.54,1.43,-0.83,593,2154,627
497.42,-246.92,-254.64,-0.16,0.92,-1.43,593,2151,625
497.42,-244.77,-248.36,0.22,0.80,-1.49,593,2143,624
497.42,-239.46,-260.09,-0.09,0.68,-1.39,592,2155,623
497.42,-206.89,-267.83,0.50,0.35,-0.87,593,2155,624
497.42,-195.98,-249.51,0.50,0.34,-1.05,593,2159,624
497.42,-182.01,-242.91,0.70,0.34,-0.93,593,2157,624
497.42,-172.10,-199.87,1.43,0.10,-0.07,590,2153,624
497.42,-168.88,-150.16,1.02,0.26,-0.13,594,2157,626
497.42,-135.44,-10.68,1.73,-0.12,0.30,593,2155,626
497.42,-119.24,4.06,1.16,-0.34,0.79,595,2159,627
497.42,-105.85,6.10,1.14,-0.25,0.96,597,2159,626
497.42,-98.05,27.30,1.43,0.12,1.12,595,2160,627
497.42,-94.24,64.87,1.56,0.40,1.59,594,2160,629
497.42,-88.33,65.44,0.99,0.31,1.86,593,2160,626
497.42,-85.44,63.79,0.89,0.46,1.99,595,2170,629
342.72,-87.21,219.58,0.86,1.15,1.99,594,2193,627
306.65,-85.56,264.69,1.13,0.82,1.97,595,2199,625
283.49,-76.50,276.08,0.44,0.57,1.19,594,2201,624
270.52,-70.51,282.19,0.46,0.61,0.70,593,2202,624
251.23,-65.81,271.65,0.18,0.35,0.68,594,2202,626
228.49,-67.93,246.11,-0.00,0.13,0.74,594,2199,626
159.07,-76.22,223.12,-0.37,-0.02,0.86,595,2199,630
152.36,-68.22,220.32,-0.16,0.05,0.65,594,2203,626
149.89,-58.11,210.02,-0.42,-0.02,0.56,594,2203,626
152.03,-44.86,193.61,-0.36,-0.02,0.33,594,2204,627
154.94,-32.60,178.43,-0.50,-0.06,0.28,595,2202,624
155.54,-23.61,147.84,-0.69,-0.18,0.30,599,2201,625
159.86,1.61,76.72,-0.66,-0.25,0.52,603,2203,626
158.79,7.18,67.15,-0.40,-0.12,0.63,606,2205,630
154.13,13.14,60.11,-0.40,-0.13,0.76,607,2205,626
144.97,20.68,52.97,-0.25,-0.14,0.82,608,2203,627
135.86,27.46,42.29,-0.28,-0.22,0.95,607,2241,625
124.93,29.73,23.33,-0.37,-0.25,1.04,607,2206,624
110.32,31.29,6.25,-0.27,-0.26,1.08,605,2203,627
47.40,23.96,-4.27,0.26,-0.18,1.12,607,2202,627
36.12,20.42,2.45,0.41,-0.12,1.08,609,2205,624
23.75,15.98,6.55,0.40,-0.10,1.13,607,2202,626
9.20,9.81,10.68,0.43,-0.10,1.17,614,2202,625
-4.80,4.36,13.85,0.38,-0.10,1.14,609,2205,627
-16.89,-1.17,14.86,0.37,-0.07,1.14,607,2205,625
-29.25,-6.28,15.96,0.36,-0.07,1.12,604,2203,627
-71.01,-24.50,15.48,0.18,-0.02,0.93,606,2203,626
-76.23,-26.30,15.35,0.21,0.02,0.88,607,2205,627
