gX,gZ,gY,aX,aZ,aY,p1,p2,p3
48.35,14.88,35.73,-0.09,0.90,0.43,1011,2046,997
49.10,16.65,30.90,-0.01,0.90,0.34,1011,2061,998
50.01,18.95,35.12,0.08,0.88,0.40,1010,2064,997
52.01,24.25,41.44,0.10,0.91,0.29,1010,2068,995
50.21,26.83,40.92,-0.05,0.85,0.46,1008,2077,997
51.49,29.35,39.96,0.14,0.78,0.28,1013,2081,999
53.65,32.51,47.00,0.12,0.89,0.35,1010,2096,997
51.46,29.03,55.82,0.22,0.91,0.46,1010,2116,999
52.04,28.95,58.22,0.18,0.92,0.34,1014,2122,997
57.59,28.34,61.62,0.27,0.97,0.23,1013,2128,998
58.78,25.24,61.55,0.14,0.93,0.38,1016,2133,999
59.31,22.82,53.58,-0.02,0.81,0.38,1009,2151,999
57.92,19.20,52.68,0.14,0.82,0.46,1013,2153,999
55.02,15.92,50.16,0.12,0.84,0.43,1012,2151,997
35.91,2.62,32.45,0.02,0.87,0.63,1011,2174,999
28.56,-1.75,23.73,-0.10,0.77,0.74,1008,2176,997
23.37,-6.97,29.64,0.14,0.90,0.67,1008,2181,998
17.39,-13.15,37.74,0.06,0.87,0.78,1008,2185,998
11.60,-17.00,30.16,-0.12,0.87,0.71,1008,2186,990
7.65,-18.65,17.85,-0.19,0.86,0.69,1010,2189,997
4.15,-14.85,8.80,-0.13,0.84,0.54,1008,2192,998
-1.13,-6.77,-19.87,-0.30,0.67,0.73,1005,2192,995
-9.73,-11.96,-33.43,-0.13,0.69,0.72,1006,2192,995
-18.48,-15.60,-31.43,0.01,0.72,0.77,993,2191,997
-24.43,-18.04,-24.99,0.09,0.81,0.70,977,2192,994
-28.48,-21.90,-15.87,0.12,0.90,0.66,971,2198,998
-34.81,-26.10,-10.97,0.06,0.92,0.75,955,2201,997
-47.09,-25.96,-12.85,0.10,0.85,0.54,947,2206,997
-56.25,-28.89,2.90,0.12,0.82,0.51,910,2217,997
-58.67,-28.51,1.97,0.08,0.82,0.50,902,2211,998
-60.29,-29.01,3.97,0.12,0.86,0.37,895,2219,998
-67.35,-35.11,5.68,0.08,0.85,0.64,885,2214,1000
-76.67,-39.38,-2.87,-0.05,0.74,0.67,880,2214,998
-82.29,-42.05,-2.77,0.07,0.79,0.52,869,2207,998
-88.41,-42.48,3.23,0.07,0.83,0.53,878,2213,999
-121.35,-15.53,-9.13,-0.04,1.12,0.63,877,2217,994
-135.13,-13.69,-0.56,0.12,0.97,0.75,875,2213,993
-147.41,-13.24,9.13,0.27,0.98,0.79,873,2210,985
-161.24,-16.22,-3.74,-0.28,0.74,0.96,877,2214,976
-174.34,-12.27,-33.13,-0.38,0.65,0.76,880,2216,966
-180.17,-8.85,-50.35,-0.34,0.85,0.68,880,2213,953
-170.90,-2.59,-123.13,-0.18,1.17,-0.02,905,2211,863
-196.34,10.77,-216.97,-1.32,-0.53,-0.23,902,2211,844
